2017-11-08 00:09:33 	 [ INFO] 	 <middleware.go:19>  	 Form:map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]],Path:localhost:8081/user/registeruser
2017-11-08 00:09:33 	 [ WARN] 	 <model_user.go:80>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack006)
2017-11-08 00:09:33 	 [ERROR] 	 <handler_user.go:110>  	 该用户名已被注册%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Accept:[*/*] Accept-Encoding:[gzip, deflate, br] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Connection:[keep-alive] Content-Length:[113] Cache-Control:[no-cache] Postman-Token:[7bdf89d6-5209-0d34-6c82-4b9149b139b3] Content-Type:[application/x-www-form-urlencoded]] 0xc4201b6940 <nil> 113 [] false localhost:8081 map[password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006]] map[departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3]] <nil> map[] [::1]:52964 /user/registeruser <nil> <nil> <nil> 0xc4201b6980})
2017-11-08 00:09:38 	 [ INFO] 	 <middleware.go:19>  	 Form:map[departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3]],Path:localhost:8081/user/registeruser
2017-11-08 00:09:38 	 [ WARN] 	 <model_user.go:80>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack006)
2017-11-08 00:09:38 	 [ERROR] 	 <handler_user.go:110>  	 该用户名已被注册%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Postman-Token:[b270ff45-4132-2cbf-8d1b-557562e12c37] Accept:[*/*] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Content-Type:[application/x-www-form-urlencoded] Accept-Encoding:[gzip, deflate, br] Connection:[keep-alive] Content-Length:[113]] 0xc4201b6c80 <nil> 113 [] false localhost:8081 map[phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部]] map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]] <nil> map[] [::1]:52964 /user/registeruser <nil> <nil> <nil> 0xc4201b6cc0})
2017-11-08 00:09:42 	 [ INFO] 	 <middleware.go:19>  	 Form:map[phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部]],Path:localhost:8081/user/registeruser
2017-11-08 00:09:42 	 [ WARN] 	 <model_user.go:80>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack006)
2017-11-08 00:09:42 	 [ERROR] 	 <handler_user.go:110>  	 该用户名已被注册%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[2686b82e-83b2-6578-8a27-d2e41038dd4c] Content-Type:[application/x-www-form-urlencoded] Accept:[*/*] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Connection:[keep-alive] Content-Length:[113] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Accept-Encoding:[gzip, deflate, br]] 0xc420276080 <nil> 113 [] false localhost:8081 map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]] map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]] <nil> map[] [::1]:52964 /user/registeruser <nil> <nil> <nil> 0xc4202760c0})
2017-11-08 00:09:43 	 [ INFO] 	 <middleware.go:19>  	 Form:map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]],Path:localhost:8081/user/registeruser
2017-11-08 00:09:43 	 [ WARN] 	 <model_user.go:80>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack006)
