2017-11-07 23:31:36 	 [ INFO] 	 <middleware.go:19>  	 Form:map[phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521]],Path:localhost:8081/user/registeruser
2017-11-07 23:31:37 	 [ INFO] 	 <middleware.go:19>  	 Form:map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]],Path:localhost:8081/user/registeruser
2017-11-07 23:31:38 	 [ INFO] 	 <middleware.go:19>  	 Form:map[phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521]],Path:localhost:8081/user/registeruser
2017-11-07 23:31:39 	 [ INFO] 	 <middleware.go:19>  	 Form:map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]],Path:localhost:8081/user/registeruser
2017-11-07 23:31:39 	 [ INFO] 	 <middleware.go:19>  	 Form:map[phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521]],Path:localhost:8081/user/registeruser
2017-11-07 23:31:40 	 [ INFO] 	 <middleware.go:19>  	 Form:map[departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3]],Path:localhost:8081/user/registeruser
2017-11-07 23:31:40 	 [ INFO] 	 <middleware.go:19>  	 Form:map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]],Path:localhost:8081/user/registeruser
2017-11-07 23:31:40 	 [ INFO] 	 <middleware.go:19>  	 Form:map[phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521]],Path:localhost:8081/user/registeruser
2017-11-07 23:31:40 	 [ INFO] 	 <middleware.go:19>  	 Form:map[phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部]],Path:localhost:8081/user/registeruser
2017-11-07 23:33:07 	 [ INFO] 	 <middleware.go:19>  	 Form:map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]],Path:localhost:8081/user/registeruser
2017-11-07 23:33:13 	 [ INFO] 	 <middleware.go:19>  	 Form:map[phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部]],Path:localhost:8081/user/registeruser
2017-11-07 23:33:16 	 [ INFO] 	 <middleware.go:19>  	 Form:map[username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2]],Path:localhost:8081/user/registeruser
2017-11-07 23:34:06 	 [ INFO] 	 <middleware.go:19>  	 Form:map[departname:[技术部] phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3]],Path:localhost:8081/user/registeruser
2017-11-07 23:34:06 	 [ WARN] 	 <model_user.go:84>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack006)
2017-11-07 23:34:06 	 [ERROR] 	 <handler_user.go:107>  	 该用户名已被注册%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Content-Type:[application/x-www-form-urlencoded] Connection:[keep-alive] Content-Length:[113] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Cache-Control:[no-cache] Postman-Token:[252b9ff5-dc7e-47fd-a8f6-f95e248a0479] Accept:[*/*] Accept-Encoding:[gzip, deflate, br]] 0xc4201c4900 <nil> 113 [] false localhost:8081 map[phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部] phone:[137432234521]] map[phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部]] <nil> map[] [::1]:52075 /user/registeruser <nil> <nil> <nil> 0xc4201c4940})
2017-11-07 23:34:48 	 [ INFO] 	 <middleware.go:19>  	 Form:map[phone:[137432234521] phoneprefix:[+86] sex:[2] username:[Jack006] password:[admi3] departname:[技术部]],Path:localhost:8081/user/registeruser
2017-11-07 23:34:48 	 [ WARN] 	 <model_user.go:84>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack006)
